Transaction_ID,Customer_ID,Transaction_Date,Product_Category,Payment_Method,Transaction_Amount,Discount_Applied,Is_Fraudulent
297d162b-b280-4dc6-a2a9-d3e21febb387,7cd66746-9931-4dc4-adca-4afb5cf3ec66,2021-09-28,Toys,Debit Card,9110.26,15.0,1
5ccebd3b-06c6-465b-9f45-e66c4cdf7b71,f6dd6a92-176d-4339-b796-4d0ae906f5b5,2023-01-26,Toys,Cash,,5.0,0
cfda8cbd-cee7-4363-b8cf-a5e997dbdc37,02990f4b-55b3-4f9a-bd5e-b80acdd12648,2024-04-23,Clothing,Credit Card,,10.0,0
19cf2652-e241-401b-81ad-88adbb715949,05fe6dfb-ed08-44b7-ac98-ecd1bb67b62d,2023-11-03,Clothing,Credit Card,2889.88,15.0,1
04d11c4b-b6bd-4c4c-8a7d-70343c8b4bae,4d06e3cb-e951-460a-8d18-ceaca665b6da,2023-07-22,Beauty,PayPal,,5.0,0
ad773111-d379-4691-9fca-4acaf688b057,8fc764c0-372b-40a4-b841-4eecab7b0a42,2025-01-06,Beauty ,Cash,1324.35,0.0,1
ab0ed2b6-6738-495d-8c6b-d4d1928e18ea,ce6e9397-f766-47da-a503-acd95cbcfdfb,2023-10-15,Home & Kitchen,cryptocurrency,,,1
abd01a5a-4e00-40c3-b808-fdce78bb4e3f,3da1adc8-bc2b-490a-aa36-97c7dc972923,2022-07-31,Beauty,Debit Card,,15.0,1
7c5e68b5-5d44-4c4e-a87c-d1e4d3b1a6a0,3d106783-4cd0-426a-9c74-db162bd6ee6c,2024-01-30,Home & Kitchen,Credit Card,,15.0,0
19fd8391-1c57-4a84-b75f-a50b9b2c4656,69914062-40a0-4f66-b348-f08d3fffd390,2021-01-03,Beauty ,Credit Card,,0.0,1
81de690f-50a3-4f7e-942e-ac358081ee68,53bb93d6-cf41-43c8-b6d4-c9866032d57b,2021-02-03,Clothing,Cash,,5.0,1
4ac7c2b9-e9e9-4f23-964e-35d109d4b7c4,77d7e8a3-22a5-4947-bbb0-c2b743ae6f18,2022-08-05,Beauty ,PayPal,1917.41,20.0,0
0b043e4b-fff1-4209-bcd7-db733b71d738,dcbe00c2-ef1b-4b5e-85f9-989a9df3126c,2021-07-14,Clothing,Credit Card,,20.0,0
7075c1b5-2a98-45df-ad9e-898362c5580f,a5e1f931-b603-4ecd-b174-8d942d9fdef9,2020-07-20,Beauty,PayPal,,15.0,1
2637521a-9abb-4631-b1c6-672c5796f68a,3269a820-c68b-418d-b1e4-7aace4879548,2020-04-15,Home & Kitchen,cryptocurrency,3753.76,20.0,1
cffde30b-5b4d-408e-8abe-c876fd1f47f0,e38565da-553d-48d7-ba5d-9ba322dfcab0,2022-07-16,Beauty ,cryptocurrency,,20.0,0
04d592a9-6697-4691-a87e-b30eed41c3d1,86cffaa9-ed3c-4704-a165-5bb7d31edd69,2023-10-28,Beauty ,cryptocurrency,,20.0,0
0b2941c5-080e-47f2-b152-251ab10798f7,d8e76ed7-b58f-43b2-b090-0148e7904644,2021-05-12,Home & Kitchen,cryptocurrency,6893.15,,1
dc29210a-d5e5-426b-9b9a-a9ac67c3abb7,b8c0fd9b-72fb-47e3-8554-c3ad6a4561f3,2020-12-03,Beauty,cryptocurrency,,0.0,1
e564fb0f-8987-4430-806f-1047c21826bb,fb3455b3-b6cf-4655-abc1-969c245e9b0d,2025-02-12,Home & Kitchen,PayPal,,,0
6ac050cc-e3ab-4c47-92e5-f278fa4bce03,663226ee-c674-4c76-b72a-b228cbcedcf2,2023-07-30,Beauty ,cryptocurrency,,5.0,1
56149fee-286e-4634-8b7b-61069553ff21,db3531c0-ecef-4510-a154-0b88328c93a4,2024-10-01,Toys,Credit Card,7084.0,10.0,1
434d9a52-d267-4c27-8d06-63bc6064a948,67c7c291-affb-4f8a-b657-d0137323050f,2024-07-29,Beauty,Cash,,5.0,1
be81b918-b23c-4123-935f-596daf327d71,b06292dd-aebf-49dc-a595-8ab2d61da676,2020-11-19,Beauty ,Debit Card,8753.76,0.0,0
247d9e69-8b94-441b-adb1-10a72d9f5c41,c962062d-511a-4e7b-adec-25da49d7fa5c,2020-02-29,Beauty,Credit Card,1200.35,,1
3266373d-b12f-42f6-9d5c-8505518e70e7,11e938cd-7bd2-4ac1-8aae-5053096a52bf,2022-02-07,Beauty ,Cash,,5.0,0
a0118564-cf3d-44f8-83b4-2dcb7b8f35df,a9360479-7631-424a-a661-a7e200205a0f,2024-09-20,Electronics,Debit Card,8670.47,,1
183cb82f-244a-42b1-a6b4-e28aae22d78b,7e477690-42f9-4d53-a51c-57711489a09a,2021-08-05,Electronics,Debit Card,792.88,,0
3c8aed2d-039e-4198-997c-de9bc2a0e173,49cf81ad-1664-4ee0-98fe-da293bd2b295,2022-08-07,Toys,Debit Card,,50.0,0
97dfc33f-3c8e-42b9-8b7b-7be0600f3f60,64e59df7-6330-4611-a9ab-ce8f18d8584d,2021-02-16,Clothing,Credit Card,5116.44,50.0,1
07b1a4ab-b634-401d-9262-724dfcea71a0,1c394252-cadc-4503-ba48-e0b65f10c036,2021-06-26,Beauty ,cryptocurrency,,0.0,1
cd0928d7-bbbe-42a9-b40b-f00f5580aab2,4956a112-2b01-497c-8a55-74fe4fafb820,2021-10-20,Home & Kitchen,Debit Card,2473.66,0.0,0
9d7d450d-5407-4be5-a8f7-0a63693265b8,a6ea7040-5c12-4d29-8e38-207960ae9513,2022-03-17,Clothing,PayPal,,20.0,1
771705ed-a3e6-4cc7-abf5-ab88e7386755,a71c6d34-5a06-4282-8684-9806aeec0329,2023-04-14,Electronics,Credit Card,6047.4,50.0,1
6bb59406-e473-4f61-919c-79d9d9b2d3a4,d35f3413-effa-4e93-9015-3536418b16c2,2021-08-27,Home & Kitchen,Credit Card,9670.2,,0
c2f21826-1667-4eb5-8ae0-8fca6027e304,ec671325-2f8d-4489-a822-24cf2a39d942,2020-06-24,Beauty ,Credit Card,,5.0,1
aed77457-e1ec-4203-a37b-35437d18084f,d0f45b26-e39e-4707-9d19-3b1c38cf1824,2021-05-04,Beauty ,cryptocurrency,,15.0,1
86a8e4b7-5850-4af6-b9f5-9ea4575a3c88,f457eead-1d91-490c-a7e2-b8ae4b58162a,2024-10-17,Beauty,Debit Card,169.93,0.0,1
3795d527-666b-4576-98b8-c835062b9ad7,5c341303-55b4-4174-8ae7-a9a563bc6090,2021-02-20,Beauty ,Debit Card,,20.0,0
591a9c69-eae5-4a82-bd9c-7e695c71a40f,06004259-2f5c-42ce-b770-f1e05e7109ed,2020-05-25,Clothing,Credit Card,9134.55,0.0,0
5c13a886-4b35-4c09-9857-1ac3dd642c99,d3a4c31b-1276-4fb9-ba69-9dda2d9247a7,2021-06-13,Clothing,Credit Card,4653.08,50.0,0
d756e9c0-b3d4-4096-9ffa-b68d4db9c921,600d62af-bf0e-4f15-8b49-750a083b0c44,2021-02-02,Beauty,PayPal,,15.0,0
d3d3a929-ab47-4f86-9012-5ce8e6b77c31,caefc006-19a2-476e-abc9-9e10d2b13623,2021-06-28,Beauty ,cryptocurrency,,5.0,1
5d258efe-84e3-4c18-86b3-fc435df4fe3b,bd55084f-9385-46f7-a0ee-e64727f0eb1c,2020-05-05,Clothing,Credit Card,6881.78,50.0,1
d91931b6-fc5e-4788-be00-83ca6cb0e6e3,ba40f825-1ed5-47ea-bd72-dda93c141267,2024-05-11,Beauty ,Debit Card,,,0
b165baa7-14e6-4f31-b755-6dc0f2818e8d,b053ee1f-2f97-4b7f-b05b-57c6eab3329f,2020-05-09,Home & Kitchen,Cash,,0.0,1
209aca85-bee0-4b00-9347-cac76ec5a7a0,1a8250cd-c75c-4826-a715-3404596c5abd,2020-06-08,Home & Kitchen,Debit Card,,0.0,0
b8cbb50d-7646-4da2-b99d-96f0d921cb66,98717f8f-2045-4f66-a6ae-48287ca85388,2020-09-06,Home & Kitchen,Cash,8430.79,20.0,1
808eb756-12aa-4351-879e-e581bea15b17,5cc1a812-64ba-4924-951f-e02680ae411e,2023-06-02,Clothing,Debit Card,3980.86,10.0,1
b11b7238-dfba-4127-a41c-f1962842721b,25f95222-f4ba-41e4-aea4-9cb5a8f77f32,2023-12-30,Toys,cryptocurrency,,0.0,1
cb26fa7b-08ec-4970-8551-468c48d629a9,f6dd6a92-176d-4339-b796-4d0ae906f5b5,2023-03-24,Clothing,PayPal,,5.0,1
7be94a7f-de06-4767-b80a-d05abcaf23f5,82a915ed-b92f-43b3-ad5c-d884d8c3aca3,2024-05-01,Beauty,Cash,1815.73,50.0,0
a12c37cb-6c66-47fe-80eb-fcf4184eb336,71361186-16c2-420f-b3f7-c9a632cc21af,2021-07-18,Beauty,Debit Card,2113.34,0.0,0
f0d0347c-e9a4-46f0-b314-7de52ca57fe5,37f2728d-7029-4907-ab17-32ac7c762c2e,2023-03-30,Toys,PayPal,5018.59,5.0,0
16089eef-48dd-4d3d-bccb-bc2ba29baca0,42cbffbf-e7e4-41ed-b828-949bccc2effb,2024-09-24,Home & Kitchen,Credit Card,6096.28,0.0,1
5cb8974c-5776-4078-afcf-9078b17bda31,c2fac90e-1bb9-45f7-91d3-ef99b6aa7855,2022-05-04,Clothing,Debit Card,,,1
c4125425-8238-4bca-8c4a-0525c4caca4d,d78c873b-2f93-4634-9c05-4fde12b8943c,2024-01-14,Electronics,PayPal,,,1
2b6c0e2a-9614-45fe-bf76-df1437ca0efe,7583716d-11ac-4a23-a3ca-4fb3011adf52,2023-09-07,Home & Kitchen,cryptocurrency,,,1
3904a8c1-80cf-4bd9-a4dd-e2a8b269fddc,6ab7b81d-52a4-4549-88c1-ee03385e91e2,2021-12-20,Toys,Cash,2559.02,0.0,1
500eb8ae-1360-4b3a-b235-55da5c5215a8,92ce1b88-1af5-46d1-97a8-69973ade0cb1,2022-10-16,Toys,Debit Card,9219.29,0.0,1
7771d5e7-f453-4afb-98a1-1f64566f26d0,f0d3c27e-fd08-4726-8dd1-21e1650fd801,2023-06-17,Beauty,Cash,,50.0,1
52afd722-8bb4-4b93-850f-29b5dca1858b,d0649e28-5725-4318-8e33-50b59bad91af,2023-04-17,Toys,Credit Card,,0.0,0
e7297f6a-37cb-4666-9383-0148e87507eb,62508b21-581c-424a-ade3-305361b2a13e,2022-05-12,Electronics,Debit Card,,5.0,0
89c8477e-af58-435c-abc7-707fb2898b54,db3531c0-ecef-4510-a154-0b88328c93a4,2021-10-09,Toys,PayPal,,0.0,0
abeaec2e-8450-4a00-b41b-e2894005855a,6b5f1662-dbcd-4758-8ccb-9bbc0db8882d,2024-08-12,Clothing,Credit Card,,15.0,1
27d0f982-66e9-4bb1-b7f1-091632eeb147,de9536e6-2fa4-430f-bc09-b856cabab27e,2020-04-25,Beauty ,Cash,,15.0,1
1ea07e55-2820-4b9d-9ae3-1357bb5979da,a7ae206b-8abd-47ea-b3db-ec31fc09583e,2023-05-16,Beauty,Credit Card,9287.13,,1
654bed26-f862-4862-9476-49c1c4753462,590115b2-e867-4aba-924c-5ec10fb3c26c,2024-12-04,Electronics,Debit Card,5414.7,20.0,1
e9815307-54e7-49eb-bd9a-8bf2d6d93923,7726b6ea-b100-4ee5-a3e5-f10ffc74df17,2024-05-28,Clothing,Credit Card,4449.67,50.0,0
789b3afd-ea86-44f4-819a-bdda36e76b28,fc684978-8116-47bf-868d-0ca878e899c0,2024-10-20,Home & Kitchen,cryptocurrency,,50.0,0
7681e597-1244-4f07-a361-39fa1f1307dc,422dde06-46c4-4912-a417-ce574d7fccf6,2023-03-30,Toys,Credit Card,,15.0,1
10d9fb13-5844-406b-a8cc-7735e8b9bca2,25960be6-8e05-409d-9a49-7ce29613fdda,2023-12-21,Electronics,cryptocurrency,,,0
ee8b1429-6cb6-44b4-b3eb-2a8c88e6e1af,ae295a61-5a10-4eb1-a335-b5bff18379cb,2023-04-04,Toys,Credit Card,6826.52,5.0,0
6740bf5b-37c2-4adc-b5b6-782d395cb9a7,49e56e8a-76d8-4ad4-b66e-71c02434af5f,2020-11-13,Home & Kitchen,Credit Card,,,1
b20c6fd5-6585-4348-aaa9-f4842b1f69c4,4956a112-2b01-497c-8a55-74fe4fafb820,2024-08-16,Electronics,Debit Card,7358.11,20.0,0
e7660149-fb0a-4e44-8d47-55217553689a,c9944099-0e44-46cd-b6a0-f338e5f6d4b4,2020-04-05,Beauty ,Debit Card,4393.46,50.0,0
92f753cc-fcbc-49fc-9fd1-16cd70030715,3543b86c-3f96-44f2-8c79-0f67b2d7d9e4,2021-12-27,Toys,Credit Card,9967.78,50.0,0
483e359c-ab9a-45f7-a8b2-e7b7dde4b224,9bdc98e8-efbd-4932-a365-afea14cef054,2022-03-17,Clothing,cryptocurrency,,,0
04682fa1-1c89-4e37-99c5-b9f162024b83,905d6c84-94dc-425f-96d4-b761a3782e9f,2022-08-19,Beauty ,Cash,,,0
be7d8334-6be5-4587-9789-117ba0185f7b,ab2169b9-69b2-4d59-8d47-ec30f27ecb64,2021-11-20,Electronics,Debit Card,9370.88,50.0,1
b2f297c9-b63f-4faa-ac10-5a8272cd280e,ab298264-5ebf-4e86-9adf-33b4561af7ec,2022-05-24,Home & Kitchen,Debit Card,7040.9,50.0,0
027d41d7-f867-4c87-85eb-47e56b9e2c41,c68536f5-11a6-4476-9ca6-67fd23e91dd2,2020-07-22,Clothing,Debit Card,,0.0,0
5cad8f8d-5729-4d1a-9490-d1ff2836bca9,70dd2c65-48fb-4dba-9ac1-f948132c44e1,2020-05-09,Clothing,Credit Card,9188.93,,1
4dc2ed2b-fc18-499e-9953-ee171ff6c055,b7d99172-4cf9-4c0f-9229-44f7ff7f64cf,2022-11-12,Beauty ,Cash,,5.0,0
6269e2cd-5043-4dcc-9108-27a0df8784e0,ffeecbb5-1dc2-405b-8e7a-3ecbbcfe004d,2022-05-31,Beauty,Credit Card,,15.0,0
fa803fd2-d9c4-4db6-b711-db35cfbcd80b,b3b454af-829f-4f54-a3ad-8bed39a535df,2023-09-18,Home & Kitchen,Cash,8900.17,0.0,1
af38adbe-4433-48ce-8a52-b8d6cbd7dc23,ca771081-9ee1-49de-9d9b-757b247a4744,2020-04-18,Home & Kitchen,Credit Card,,0.0,1
9fe509ca-cbf9-47a0-ba51-2df9d8f3e81d,0434d4b8-397e-4ff6-a96e-9180af8de336,2020-05-03,Beauty ,Debit Card,,50.0,0
7a1d0718-5ddc-4e2b-a1b3-42a36cac11d0,784e5fab-d2f8-4cdc-955d-3eedc86a1158,2023-05-24,Toys,PayPal,4687.61,15.0,1
6a823b50-fd66-4151-aa0e-7a8bc9bfbcdc,17f4932b-9fff-4a5e-8636-875a42b4a6f2,2024-10-30,Clothing,cryptocurrency,,10.0,0
ad6f2c13-be72-4ad5-a183-998c6acc003d,08617100-82b8-4f24-ae7d-24f2b64ddcab,2025-01-25,Clothing,PayPal,1860.05,,0
7da6e8c9-2c4e-493e-a1b6-50fd19d4b28f,06ec22b7-73e0-4d6a-bfc0-43ad9c09e580,2023-08-06,Home & Kitchen,Debit Card,,10.0,0
cb4a9603-d863-4baa-80a3-28f0027725d3,f7199572-e99e-406b-949b-e1adec5ab3ea,2024-04-25,Electronics,Debit Card,6665.9,20.0,0
5151b269-7d33-41f2-a4f5-788a78d1c859,d22e6490-91e0-4efa-9600-b5060d1e9877,2020-11-26,Electronics,Credit Card,,50.0,1
f192f610-8174-49af-8c28-95586740a45f,a0a97abd-3446-4473-8aa9-763fffee96ef,2022-04-03,Toys,PayPal,,50.0,0
b04b45e4-133b-4d47-94a4-3aa6a77adf75,3351b838-4e2d-44e8-9682-56f85f793b12,2024-11-07,Beauty ,Cash,,50.0,1
f7afc06d-2e82-418c-a4d2-ce8add9d6a4d,cb1cb2eb-6ec8-4129-becb-8d5f744f1b1a,2020-02-24,Clothing,Debit Card,3677.94,50.0,0
8919c225-d184-4986-8c1c-c78a38ab7343,71361186-16c2-420f-b3f7-c9a632cc21af,2020-08-18,Beauty,Credit Card,2569.2,10.0,0
c8156d55-3c39-4029-a41e-bb582ba357d5,38098a6e-aa3d-4c72-8fed-03545525ec74,2023-01-25,Electronics,PayPal,,0.0,1
d81c3e86-7d48-4af7-b120-2198ed8a762f,bfd33f54-a6f1-4935-8bb9-19b7c9a07a65,2023-01-07,Clothing,Cash,5131.39,15.0,0
a33f32ac-0ae1-4272-aa92-2e9e06c779b8,12a7f40a-5ad5-4c8f-b524-d77c9241eab1,2022-06-11,Home & Kitchen,Credit Card,4056.89,50.0,0
f5b10370-a839-4487-aa93-101f6669c5d5,8f85bd7d-1202-4054-949e-49a597d4fc9b,2021-01-11,Beauty,cryptocurrency,,,0
7281cf2d-536a-4e56-9128-6b8c9726384f,03569aeb-324e-4741-b18a-23a07034f797,2020-07-22,Electronics,Credit Card,3406.83,0.0,0
b1915d2e-8581-42f6-9efb-5a282e83fad7,d75fdf1a-7990-4e75-9536-0874eaac17ce,2021-08-22,Beauty,PayPal,2335.18,5.0,1
ed622d0b-2d23-42cb-a4b2-b4e293381d27,9e612190-c1a6-421f-94c2-773054054b36,2020-07-01,Home & Kitchen,PayPal,7304.44,,0
3c2960ad-e81e-4124-a80b-2dd57826b9ec,b5909ab9-f28d-4aa3-90ee-8c8efa98dd73,2023-01-18,Home & Kitchen,PayPal,8792.54,15.0,1
64fb97c5-3700-4f78-8dcc-e10a59abfb75,88d3edf6-e06a-41ac-b643-9d5678b169f9,2021-09-02,Electronics,cryptocurrency,5907.29,0.0,1
e2cc325b-3614-4ac8-899d-0a390057fcb2,47275320-859b-4be0-98b6-93e8b8e42fe5,2024-10-22,Toys,Debit Card,4920.75,20.0,0
aaa55382-8b9c-483a-87b0-a78f492fe71e,65012917-09ff-429a-8827-6e51c9075416,2024-11-14,Clothing,cryptocurrency,,,1
14f5707d-09d5-4e40-b348-c2b30789af41,f324430c-5953-4b95-af27-0f562962c7b7,2024-02-22,Clothing,cryptocurrency,6784.08,5.0,1
d97becc3-c068-4519-85ce-ba32571f8ec3,63fad8cd-4d03-4e11-be78-b7bd6cec6a46,2023-08-19,Toys,PayPal,,5.0,0
1a4aeb92-5811-47a9-9c7a-ccca245d3542,f6dd6a92-176d-4339-b796-4d0ae906f5b5,2020-05-22,Clothing,Cash,8537.51,15.0,0
b0f27e45-cbfb-4855-bd9a-a9860957f334,865f575c-7575-4c6f-9fbe-6680cc6fa672,2023-03-27,Toys,Cash,8784.01,50.0,1
f7fb6e06-7158-4f4d-b20d-a4fac3d3198a,e137dcd8-6680-443a-85fb-64401280f8d3,2023-11-14,Beauty,Credit Card,,0.0,1
96e188a7-58d6-45c7-848a-56da9db2d10f,00e36bf4-36fa-4f7c-a74b-27f086a3da07,2024-05-04,Toys,Debit Card,893.75,,1
05349b26-2ea1-4b5b-ab37-720c1ab3de7c,a700032f-92d7-4ea3-b647-b727fe0ab711,2020-07-12,Beauty,Debit Card,,5.0,0
